Tiempo_FB ,Tiempo_DP ,Tiempo_FB_same_word ,Tiempo_DP_same_word
        3 ,        6 ,                  0 ,                  1
        1 ,        2 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        2 ,                  0 ,                  1
        0 ,        2 ,                  0 ,                  1
        0 ,        2 ,                  0 ,                  0
        0 ,        2 ,                  0 ,                  0
        0 ,        2 ,                  0 ,                  0
        0 ,        2 ,                  0 ,                  0
        0 ,        2 ,                  0 ,                  0
        2 ,        5 ,                  0 ,                  2
        0 ,        2 ,                  0 ,                  0
        0 ,        2 ,                  0 ,                  0
        1 ,        3 ,                  0 ,                  1
        0 ,        2 ,                  0 ,                  0
        0 ,        7 ,                  0 ,                  0
        1 ,        3 ,                  0 ,                  1
        1 ,        2 ,                  0 ,                  1
        2 ,        6 ,                  0 ,                  2
        2 ,       11 ,                  0 ,                  5
        1 ,        3 ,                  0 ,                  1
        0 ,        3 ,                  0 ,                  1
        1 ,        4 ,                  0 ,                  2
        1 ,        3 ,                  0 ,                  1
        0 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,       13 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        5 ,                  0 ,                  2
        1 ,        3 ,                  0 ,                  1
        0 ,        2 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        4 ,                  0 ,                  1
        0 ,        2 ,                  0 ,                  1
        0 ,        2 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        4 ,                  0 ,                  1
        0 ,        2 ,                  0 ,                  0
        0 ,        2 ,                  0 ,                  1
        2 ,        6 ,                  0 ,                  2
        0 ,        2 ,                  0 ,                  1
        0 ,        2 ,                  0 ,                  0
        0 ,        2 ,                  0 ,                  0
        0 ,        2 ,                  0 ,                  0
        1 ,        3 ,                  0 ,                  1
        2 ,        4 ,                  0 ,                  2
        2 ,        3 ,                  0 ,                  2
        2 ,        3 ,                  0 ,                  2
        1 ,        3 ,                  0 ,                  1
       10 ,       17 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        2 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        2 ,        4 ,                  0 ,                  1
        2 ,        4 ,                  0 ,                  2
        2 ,        4 ,                  0 ,                  2
        1 ,        4 ,                  0 ,                  2
        2 ,        4 ,                  0 ,                  2
        2 ,        3 ,                  0 ,                  2
        2 ,        4 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        2 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        2 ,        3 ,                  0 ,                  1
        2 ,        4 ,                  0 ,                  2
        2 ,        3 ,                  0 ,                  2
       18 ,       33 ,                  1 ,                 17
        2 ,        3 ,                  0 ,                  1
        2 ,        4 ,                  0 ,                  1
        2 ,        4 ,                  0 ,                  2
        2 ,        4 ,                  0 ,                  2
        2 ,        4 ,                  0 ,                  2
        2 ,        5 ,                  0 ,                  2
        2 ,        4 ,                  0 ,                  2
        1 ,        5 ,                  0 ,                  8
        2 ,        4 ,                  0 ,                  2
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        6 ,                  0 ,                  1
        2 ,        5 ,                  0 ,                  2
        1 ,        4 ,                  0 ,                  2
        2 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        2 ,        4 ,                  0 ,                  2
        2 ,       16 ,                  0 ,                  2
        2 ,        4 ,                  0 ,                  2
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
        1 ,        3 ,                  0 ,                  1
