Tiempo_FB, Tiempo_DP, Tiempo_FB_same_word, Tiempo_DP_same_word
1,3,0,1
0,1,0,1
0,6,0,0
0,1,0,1
0,1,0,0
0,1,0,1
0,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,2,0,1
0,1,0,0
2,1,0,1
2,1,0,1
2,7,0,1
4,5,0,2
5,5,0,2
4,3,0,2
2,3,0,2
4,2,0,2
4,2,0,2
4,11,0,2
14,4,0,3
20,6,0,3
13,3,0,3
9,3,0,2
14,3,0,2
24,3,0,4
37,4,0,3
11,3,0,3
17,3,0,3
21,3,0,3
60,4,0,4
16,4,0,3
113,4,0,3
58,4,0,4
64,4,0,4
114,4,0,4
32,4,0,3
86,4,0,3
99,8,0,5
100,6,0,4
311,6,0,5
170,3,0,3
316,3,0,4
318,3,0,3
318,3,0,3
302,3,0,3
332,3,0,3
285,3,0,3
177,5,0,4
300,6,0,5
1161,8,0,6
1131,6,0,4
1312,5,0,4
1497,4,0,3
817,4,0,3
716,4,0,3
743,5,0,4
1565,7,0,3
1012,5,0,3
2032,10,0,7
8157,8,0,4
833,6,0,4
7181,7,0,5
6263,6,0,5
6137,10,0,8
7808,6,0,5
5143,6,0,5
8216,5,0,4
3619,5,0,4
8944,8,0,5
12990,12,0,6
42511,13,0,5
48285,8,0,9
48797,15,0,6
24072,7,0,6
28013,7,0,5
46081,8,0,6
35695,11,0,6
31979,7,0,6
23536,7,0,6
130064,17,0,9
112722,19,0,9
193366,17,0,8
98941,17,0,9
199872,19,0,8
280637,19,0,9
157480,18,0,8
227737,16,0,7
240049,18,0,8
221205,17,0,8
990289,52,0,12
1228881,17,0,11
478583,19,0,8
1139193,17,0,9
822659,18,0,8
655518,17,0,12
1500781,17,0,9
1153713,30,0,9
742540,20,0,8
694400,17,0,9
