Case, Tiempo_FB, Tiempo_DP
Transposition,28,12
Transposition,7,11
Transposition,7,14
Transposition,30,10
Transposition,1,5
Transposition,0,11
Transposition,29,13
Transposition,0,2
Transposition,4,17
Transposition,0,2
Transposition,3,5
Transposition,0,2
Transposition,0,3
Transposition,0,3
Transposition,0,9
Transposition,0,4
Transposition,6,13
Transposition,2896,13
Transposition,0,4
Transposition,0,1
Transposition,1,3
Transposition,0,2
Transposition,1,6
Transposition,0,4
Transposition,0,3
Transposition,0,1
Transposition,0,1
Transposition,18,3
Transposition,4,7
Transposition,8,4
Transposition,2,4
Transposition,2,4
Transposition,432,10
Transposition,0,6
Transposition,0,2
Transposition,299,7
Transposition,0,1
Transposition,0,1
Transposition,0,1
Transposition,1,2
Transposition,0,2
Transposition,221,5
Transposition,0,1
Transposition,1,3
Transposition,2779,24
Transposition,1,3
Transposition,0,3
Transposition,1,6
Transposition,0,9
Transposition,14,11
Transposition,1,2
Transposition,0,14
Transposition,1726,15
Transposition,0,6
Transposition,0,8
Transposition,745,14
Transposition,5,6
Transposition,8,6
Transposition,25,10
Transposition,1,19
Transposition,9,15
Transposition,33,6
Transposition,2,7
Transposition,1,5
Transposition,33,14
Transposition,0,7
Transposition,2,7
Transposition,8,10
Transposition,0,5
Transposition,8,12
Transposition,2,5
Transposition,0,8
Transposition,0,2
Transposition,1913,21
Transposition,298,12
Transposition,2,4
Transposition,0,2
Transposition,3,3
Transposition,636,11
Transposition,0,2
Transposition,0,14
Transposition,2,8
Transposition,0,2
Transposition,0,4
Transposition,0,6
Transposition,416,14
Transposition,1,4
Transposition,101,11
Transposition,0,3
Transposition,17,13
Transposition,9,12
Transposition,3,6
Transposition,2,5
Transposition,0,2
Transposition,1,3
Transposition,1061,12
Transposition,38,11
Transposition,1,4
Transposition,0,6
Transposition,1,2
Repetition,99,5
Repetition,532,8
Repetition,0,2
Repetition,1824010,16
Repetition,299,4
Repetition,60852,15
Repetition,1847060,21
Repetition,0,1
Repetition,2,1
Repetition,276,4
Repetition,1,1
Repetition,2061162,21
Repetition,573526,31
Repetition,0,2
Repetition,3062,15
Repetition,3,2
Repetition,2591,7
Repetition,77716,15
Repetition,13964,16
Repetition,1,3
Repetition,1,2
Repetition,27,5
Repetition,760,9
Repetition,6,4
Repetition,392237,18
Repetition,13,3
Repetition,0,1
Repetition,2,2
Repetition,1918534,32
Repetition,22,5
Repetition,3414,10
Repetition,87700,16
Repetition,71,3
Repetition,67,3
Repetition,1807837,25
Repetition,61941,14
Repetition,1915239,20
Repetition,12,2
Repetition,0,1
Repetition,60066,15
Repetition,1943,5
Repetition,2,2
Repetition,0,1
Repetition,0,1
Repetition,0,1
Repetition,0,1
Repetition,11016,9
Repetition,2,2
Repetition,2098338,19
Repetition,66,3
Repetition,64370,16
Repetition,0,1
Repetition,370342,21
Repetition,59825,11
Repetition,0,2
Repetition,355,4
Repetition,12,2
Repetition,12,2
Repetition,350,4
Repetition,2,2
Repetition,0,1
Repetition,324062,16
Repetition,61,3
Repetition,1845611,18
Repetition,2,2
Repetition,0,3
Repetition,2,1
Repetition,327278,35
Repetition,57170,12
Repetition,57127,13
Repetition,55412,10
Repetition,10081,7
Repetition,1814,4
Repetition,10888,10
Repetition,59,3
Repetition,0,1
Repetition,10092,6
Repetition,0,1
Repetition,347204,25
Repetition,646,8
Repetition,5,3
Repetition,551,8
Repetition,0,2
Repetition,17417,20
Repetition,0,2
Repetition,1882838,19
Repetition,55514,12
Repetition,60,3
Repetition,308581,28
Repetition,2,2
Repetition,0,1
Repetition,1783605,18
Repetition,55632,14
Repetition,1996504,19
Repetition,12,2
Repetition,57887,13
Repetition,337303,16
Repetition,10790,9
Repetition,59038,12
Repetition,1888,5
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,2
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,2
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,2
Empty-NonEmpty,0,2
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,2
Empty-NonEmpty,0,2
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,2
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,2
Empty-NonEmpty,0,2
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,2
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,2
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,0
Empty-NonEmpty,0,2
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,1
Empty-NonEmpty,0,0
Equal,0,9
Equal,0,3
Equal,0,6
Equal,0,4
Equal,0,7
Equal,0,8
Equal,0,1
Equal,0,3
Equal,0,4
Equal,0,3
Equal,0,5
Equal,0,3
Equal,0,8
Equal,0,0
Equal,0,3
Equal,0,3
Equal,0,15
Equal,0,0
Equal,0,4
Equal,0,9
Equal,0,0
Equal,0,1
Equal,0,9
Equal,0,4
Equal,0,7
Equal,0,0
Equal,0,2
Equal,0,3
Equal,0,2
Equal,0,3
Equal,0,8
Equal,0,1
Equal,0,1
Equal,0,4
Equal,0,7
Equal,0,2
Equal,0,7
Equal,0,8
Equal,0,7
Equal,0,0
Equal,0,7
Equal,0,9
Equal,0,9
Equal,0,3
Equal,0,6
Equal,0,6
Equal,0,8
Equal,0,7
Equal,0,0
Equal,0,8
Equal,0,3
Equal,0,9
Equal,0,7
Equal,0,8
Equal,0,7
Equal,0,8
Equal,0,9
Equal,0,1
Equal,0,4
Equal,0,4
Equal,0,4
Equal,0,5
Equal,0,0
Equal,0,3
Equal,0,4
Equal,0,0
Equal,0,7
Equal,0,1
Equal,0,3
Equal,0,1
Equal,0,9
Equal,0,7
Equal,0,2
Equal,0,1
Equal,0,12
Equal,0,8
Equal,0,5
Equal,0,7
Equal,0,6
Equal,0,3
Equal,0,5
Equal,0,5
Equal,0,5
Equal,0,0
Equal,0,1
Equal,0,3
Equal,0,0
Equal,0,7
Equal,0,0
Equal,0,1
Equal,0,5
Equal,0,6
Equal,0,1
Equal,0,1
Equal,0,1
Equal,0,2
Equal,0,8
Equal,0,2
Equal,0,2
Equal,0,8
Empty,0,0
